"ISOAPL","ISOBMP","ISOTIP","ISOFIL","ISOALI","ISOLLN","ISOLNG","ISODSC","ISODFT","ISOFLG"
"AAA",1,"A","0","I",0,16,"Bit Map Secondary.","",""
"AAA",3,"D","0","I",0,6,"Processing Code.","",""
"AAA",4,"D","0","I",0,12,"Transaction Amount.","",""
"AAA",7,"D","0","I",0,10,"Transmision date and time.","",""
"AAA",11,"D","0","I",0,6,"System Trace Audit Number.","",""
"AAA",12,"D","0","I",0,6,"Local transaction time.","",""
"AAA",13,"D","0","I",0,4,"Local transaction date.","",""
"AAA",17,"D","0","I",0,4,"Capture Date.","",""
"AAA",18,"D","0","I",0,4,"Merchant Type.","",""
"AAA",22,"D","0","I",0,3,"Point of service entry mode.","",""
"AAA",25,"D","0","I",0,2,"Point of service condition code.","",""
"AAA",32,"D","0","I",0,13,"Acquiring institution code.","",""
"AAA",35,"A","0","I",0,39,"Track 2 Data.","",""
"AAA",37,"A","0","I",0,12,"Retrieval reference number.","",""
"AAA",38,"A","0","I",0,6,"Authorization Number.","",""
"AAA",39,"A","0","I",0,2,"Response Code.","",""
"AAA",41,"A","0","I",0,16,"Card acceptor terminal identification.","",""
"AAA",42,"A","0","I",0,15,"Card acceptor identification code.","",""
"AAA",43,"A","0","I",0,40,"Card acceptor name and location.","",""
"AAA",44,"A","0","I",0,4,"Additional Response Data","",""
"AAA",48,"A","0","I",0,30,"Retrailer Data","",""
"AAA",49,"D","0","I",0,3,"Transaction currency code.","",""
"AAA",54,"A","0","I",0,15,"Additional amounts.","",""
"AAA",60,"A","0","I",0,19,"Terminal Data","",""
"AAA",61,"A","0","I",0,22,"Card Issuer-Category- Response Code Data","","       S  S"
"AAA",63,"A","0","I",0,600,"Additional Data","",""
"AAA",70,"D","0","I",0,3,"Network management information code","",""
"AAA",90,"A","0","I",0,42,"Original data elements.","",""
"AAA",95,"D","0","I",0,42,"Replacement amounts.","",""
"AAA",100,"A","0","I",0,13,"Receiving Institution ID Code","","       S  S"
"AAA",102,"A","0","I",0,28,"Account ID 1.","",""
"AAA",120,"A","0","I",0,32,"Terminal Address-Branch","","       S  S"
"AAA",121,"A","0","I",0,23,"Authorization Indicators","","       S  S"
"AAA",122,"A","0","I",0,14,"Card Issuer ID Code","","       S  S"
"AAA",123,"A","0","I",0,23,"POS Invoice Data","","       S  S"
"AAA",125,"A","0","I",0,15,"Pos Setllement Data","",""
"AAA",126,"A","0","I",0,41,"Pos Preauthorization and Chargeback","","       S  S"
"AA2",1,"A","0","I",0,16,"Bit Map Secondary.","",""
"AA2",3,"D","0","I",0,6,"Processing Code.","",""
"AA2",4,"D","0","I",0,12,"Transaction Amount.","",""
"AA2",7,"D","0","I",0,10,"Transmision date and time.","",""
"AA2",11,"D","0","I",0,6,"System Trace Audit Number.","",""
"AA2",12,"D","0","I",0,6,"Local transaction time.","",""
"AA2",13,"D","0","I",0,4,"Local transaction date.","",""
"AA2",17,"D","0","I",0,4,"Capture Date.","",""
"AA2",18,"D","0","I",0,4,"Merchant Type.","",""
"AA2",22,"D","0","I",0,3,"Point of service entry mode.","",""
"AA2",25,"D","0","I",0,2,"Point of service condition code.","",""
"AA2",32,"D","0","I",0,13,"Acquiring institution code.","",""
"AA2",35,"A","0","I",0,39,"Track 2 Data.","",""
"AA2",37,"A","0","I",0,12,"Retrieval reference number.","",""
"AA2",38,"A","0","I",0,6,"Authorization Number.","",""
"AA2",39,"A","0","I",0,2,"Response Code.","",""
"AA2",41,"A","0","I",0,16,"Card acceptor terminal identification.","",""
"AA2",42,"A","0","I",0,15,"Card acceptor identification code.","",""
"AA2",43,"A","0","I",0,40,"Card acceptor name and location.","",""
"AA2",44,"A","0","I",0,4,"Additional Response Data","",""
"AA2",48,"A","0","I",0,30,"Retrailer Data","",""
"AA2",49,"D","0","I",0,3,"Transaction currency code.","",""
"AA2",54,"A","0","I",0,15,"Additional amounts.","",""
"AA2",60,"A","0","I",0,19,"Terminal Data","",""
"AA2",61,"A","0","I",0,22,"Card Issuer-Category- Response Code Data","","       S  S"
"AA2",63,"A","0","I",0,600,"Additional Data","",""
"AA2",70,"D","0","I",0,3,"Network management information code","",""
"AA2",90,"A","0","I",0,42,"Original data elements.","",""
"AA2",95,"D","0","I",0,42,"Replacement amounts.","",""
"AA2",100,"A","0","I",0,13,"Receiving Institution ID Code","","       S  S"
"AA2",102,"A","0","I",0,28,"Account ID 1.","",""
"AA2",120,"A","0","I",0,32,"Terminal Address-Branch","","       S  S"
"AA2",121,"A","0","I",0,23,"Authorization Indicators","","       S  S"
"AA2",122,"A","0","I",0,14,"Card Issuer ID Code","","       S  S"
"AA2",123,"A","0","I",0,23,"POS Invoice Data","","       S  S"
"AA2",125,"A","0","I",0,15,"Pos Setllement Data","",""
"AA2",126,"A","0","I",0,41,"Pos Preauthorization and Chargeback","","       S  S"
"ASC",1,"A","","",0,16,"Secondary Bit Map.","",""
"ASC",2,"A","","",2,19,"Numero de Tarjeta","",""
"ASC",3,"A","","",0,6,"Processing Code.","",""
"ASC",4,"D","","",0,12,"Transaction Amount.","",""
"ASC",7,"A","","",0,10,"Transmission Date and Time.","",""
"ASC",11,"D","","",0,6,"System Trace Audit Number.","",""
"ASC",12,"D","","",0,6,"Local transaction time.","",""
"ASC",13,"D","","",0,4,"Local transaction date.","",""
"ASC",14,"D","","",0,4,"Expiration Date.","",""
"ASC",15,"D","","",0,4,"Settlement Date.","",""
"ASC",17,"D","","",0,4,"Capture Date.","",""
"ASC",18,"D","","",0,4,"Merchant Type.","",""
"ASC",22,"D","","",0,3,"Point of service entry mode.","",""
"ASC",23,"D","","",0,3,"Card Sequence Number.","",""
"ASC",25,"D","","",0,2,"Point of service condition code.","",""
"ASC",27,"D","","",0,1,"Authorization Identidication Response ength","",""
"ASC",32,"D","","",2,11,"Adquiring Institution Identification Code.","",""
"ASC",35,"A","","",2,37,"Track 2 Data.","",""
"ASC",36,"A","","",3,104,"Track 3 Data.","",""
"ASC",37,"A","","",0,12,"Retrieval Reference Number.","",""
"ASC",38,"A","","",0,6,"Authorization Identification Response.","",""
"ASC",39,"A","","",0,2,"Response Code.","",""
"ASC",41,"A","","",0,16,"Card Acceptor Terminal Identification.","",""
"ASC",42,"A","","",0,15,"Card Acceptor Identification Code.","",""
"ASC",43,"A","","",0,40,"Card Acceptor Name/Location.","",""
"ASC",44,"A","","",2,27,"Additional Response Data.","",""
"ASC",45,"A","","",2,76,"Track 1 Data.","",""
"ASC",47,"A","","",3,39,"National Aditional Data","",""
"ASC",48,"A","","",3,47,"Additional Data - Base24 - ATM Data.","",""
"ASC",49,"D","","",0,3,"Transaction currency code.","",""
"ASC",52,"A","","",0,16,"Personal identification number (PIN).","",""
"ASC",53,"D","","",0,16,"Security Related - Control Information","",""
"ASC",54,"A","","",3,15,"Additional Amounts.","",""
"ASC",58,"A","","",3,135,"Financial Token","",""
"ASC",59,"A","","",3,17,"Teller","",""
"ASC",60,"A","","",3,22,"Terminal Data.","",""
"ASC",61,"A","","",3,22,"Card Issuer.","",""
"ASC",62,"A","","",3,13,"Postal Code","",""
"ASC",63,"A","","",3,230,"PIN Offset","",""
"ASC",64,"A","","",0,16,"Primary Message Authentication Code","",""
"ASC",70,"D","","",0,3,"Network Management Information Code","",""
"ASC",73,"D","","",0,6,"Action Date","",""
"ASC",90,"D","","",0,42,"Original Data Elements.","",""
"ASC",91,"A","","",0,1,"File Update Code","",""
"ASC",95,"A","","",0,42,"Replacement Amounts.","",""
"ASC",96,"A","","",0,16,"Message Security Code","",""
"ASC",98,"A","","",0,25,"Payee","",""
"ASC",100,"D","","",2,13,"Receiving Institution Identification Code.","",""
"ASC",101,"A","","",2,4,"File Name","",""
"ASC",102,"A","","",2,30,"Account Identefication 1.","",""
"ASC",103,"A","","",2,30,"Account Identification 2","",""
"ASC",104,"A","","",3,63,"Transaction Description","",""
"ASC",112,"A","","",3,157,"Override Token","",""
"ASC",114,"A","","",3,429,"WHEF Inquiry Token-Part1","",""
"ASC",115,"A","","",3,389,"WHEF Inquiry Token-Part2","",""
"ASC",116,"A","","",3,389,"WHEF Inquiry Token-Part3","",""
"ASC",117,"A","","",3,7,"PBF Update Token","",""
"ASC",118,"A","","",3,103,"From Host Maintenance PBF Data","",""
"ASC",119,"A","","",3,83,"Teller WHFF Update Token","",""
"ASC",120,"A","","",3,153,"BASE24 Key Management","",""
"ASC",121,"A","","",3,23,"Auth Indicators.","",""
"ASC",122,"A","","",3,104,"BASE24-fhm POS Segment Information.","",""
"ASC",123,"A","","",3,100,"BASE24 Cryptographic Service Message","",""
"ASC",124,"A","","",3,12,"Batch y Shift Data.","",""
"ASC",125,"A","","",0,15,"Settlement Data.","",""
"ASC",126,"A","","",3,41,"BASE24-fhm POS CAF Account Segment Informatio","",""
"ASC",127,"A","","",3,100,"BASE24-fhm POS CAF Address Segment Informatio","",""
"ASC",128,"A","","",0,16,"BASE24-fhm POS CAF Address Segment Informatio","",""
"STF",1,"A","","",0,16,"Bit Map, Extendido","",""
"STF",2,"A","","",2,19,"PAN","","S"
"STF",3,"A","","",0,6,"Código de Proceso o Transacción","",""
"STF",4,"A","","",0,12,"Monto, Transacción","",""
"STF",5,"A","","",0,12,"Monto, Settlement","",""
"STF",6,"A","0","I",0,12,"Monto, moneda del emisor","",""
"STF",7,"A","","",0,10,"Transmisión Date/Time","",""
"STF",9,"A","0","I",0,8,"Tasa de conversión, settlement","",""
"STF",10,"A","0","I",0,3,"CVV2","",""
"STF",11,"A","","",0,6,"System Trace audit. Nro.","",""
"STF",12,"A","","",0,6,"Time, Local Transaction","",""
"STF",13,"A","","",0,4,"Date, Local Transaction","",""
"STF",14,"A","","",0,4,"Date, Expiration","","T"
"STF",15,"A","","",0,4,"Date, Settlement","",""
"STF",18,"A","","",0,4,"Tipo de Comercio o Tipo de Terminal usada","",""
"STF",19,"A","","",0,3,"Código de país adquiriente","",""
"STF",21,"A","","",0,3,"Código del País Emisor","152",""
"STF",22,"A","","",0,3,"Modo de Entrada del PAN y del PIN","",""
"STF",25,"A","","",0,2,"Point of Service Condition Code","",""
"STF",26,"A","0","I",0,2,"Point Of Service Pin Capture Code","",""
"STF",31,"A","0","I",0,2,"BM031 Indicador POS","",""
"STF",32,"A","","",2,11,"Código de Identif. institución Adquiriente","",""
"STF",33,"A","0","I",1,7,"Forwarding Institution Code.","",""
"STF",35,"A","0","I",0,37,"Datos del Track II","",""
"STF",37,"A","0","I",0,12,"Número de Referencia","",""
"STF",38,"A","0","I",0,6,"Código de Autorización","",""
"STF",39,"A","0","I",0,2,"Código de Respuesta","",""
"STF",41,"A","0","I",0,8,"Número de Terminal","",""
"STF",42,"A","0","I",0,15,"Número identificador de la tienda","",""
"STF",43,"A","0","I",0,40,"Card Aceptor Name/Location","",""
"STF",44,"A","0","I",2,12,"código de autorización adicional","",""
"STF",45,"A","0","I",2,76,"Track I                               ^BM045!","",""
"STF",46,"A","0","I",2,20,"Datos Adicionales respuesta compra internet","",""
"STF",47,"A","0","I",3,165,"Datos Adicionales DICOM - Cámara","",""
"STF",48,"A","0","I",3,70,"Additional Data - Fechas Adicionales","",""
"STF",49,"A","0","I",0,3,"Moneda usada para la transacción","",""
"STF",50,"A","0","I",0,3,"Moneda usada para la reconciliación","",""
"BUS",1,"A","","",0,16,"Bit Map, Extendido","",""
"BUS",2,"A","","",2,19,"PAN","",""
"BUS",3,"A","","",0,6,"Código de Proceso o Transacción","",""
"BUS",4,"A","","",0,12,"Monto, Transacción","",""
"BUS",5,"A","","",0,12,"Monto, Settlement","",""
"BUS",7,"A","","",0,10,"Transmisión Date/Time","",""
"BUS",11,"A","","",0,6,"System Trace audit. Nro.","",""
"BUS",12,"A","","",0,6,"Time, Local Transaction","",""
"BUS",13,"A","","",0,4,"Date, Local Transaction","",""
"BUS",14,"A","","",0,4,"Date, Expiration","",""
"BUS",15,"A","","",0,4,"Date, Settlement","",""
"BUS",18,"A","","",0,4,"Tipo de Comercio o Tipo de Terminal usada","",""
"BUS",19,"A","","",0,3,"Código de país adquiriente","",""
"BUS",21,"A","","",0,3,"Código del País Emisor","152",""
"BUS",22,"A","","",0,3,"Modo de Entrada del PAN y del PIN","",""
"BUS",25,"A","","",0,2,"Point of Service Condition Code","",""
"BUS",26,"A","0","I",0,2,"Point Of Service Pin Capture Code","",""
"BUS",32,"A","","",2,11,"Código de Identif. institución Adquiriente","",""
"BUS",35,"A","0","I",2,37,"Datos del Track II","",""
"BUS",37,"A","0","I",0,12,"Número de Referencia","",""
"BUS",38,"A","0","I",0,6,"Código de Autorización","",""
"BUS",39,"A","0","I",0,2,"Código de Respuesta","",""
"BUS",41,"A","0","I",0,8,"Número de Terminal","",""
"BUS",42,"A","0","I",0,15,"Número identificador de la tienda","",""
"BUS",43,"A","0","I",0,40,"Card Aceptor Name/Location","",""
"BUS",44,"A","0","I",2,12,"código de autorización adicional","",""
"BUS",46,"A","0","I",2,20,"Datos Adicionales respuesta compra internet","",""
"BUS",47,"A","0","I",3,165,"Datos Adicionales DICOM - Cámara","",""
"BUS",48,"A","0","I",3,70,"Additional Data - Fechas Adicionales","",""
"BUS",49,"A","0","I",0,3,"Moneda usada para la transacción","",""
"BUS",50,"A","0","I",0,3,"Moneda usada para la reconciliación","",""
"BUS",52,"A","0","I",0,16,"Pin o Clave Personal","",""
"BUS",53,"A","0","I",0,16,"Nuevo Pin o Clave","",""
"BUS",54,"A","0","I",3,220,"Montos o Saldos","",""
"BUS",60,"A","0","I",3,999,"Advice/Reversal Reason Code","",""
"BUS",61,"A","0","I",3,999,"Tasa de Interés","",""
"BUS",63,"A","0","I",3,91,"Network data - NO DEFINIDO EN DOC SATIF","",""
"BUS",67,"A","0","I",0,2,"Número de Cuotas","",""
"BUS",70,"A","0","I",0,3,"Network Management Information code","",""
"BUS",90,"A","0","I",0,42,"Original data elements","",""
"BUS",91,"A","0","I",0,1,"File update code","",""
"BUS",95,"A","0","I",0,42,"Replacement Amounts","",""
"BUS",98,"A","0","I",0,25,"Nombre del Emisor","",""
"BUS",100,"A","0","I",2,99,"Receiving Institution ID","",""
"BUS",101,"A","0","I",3,17,"Nombre del archivo a actualizar","",""
"BUS",102,"A","0","I",2,28,"Account Identification 1","",""
"BUS",103,"A","0","I",2,28,"Account Identification 2","",""
"BUS",104,"A","0","I",3,100,"Transaction Description","",""
"BUS",105,"A","0","I",3,999,"Large private Data 1 (UPC)","",""
"BUS",106,"A","0","I",3,999,"Large private Data 2 (Compra por internet)","",""
"BUS",107,"A","0","I",3,999,"Large private Data 3 (Campa¦as)","",""
"BUS",108,"A","0","I",3,999,"Información Transacciones Diferidas","",""
"BUS",109,"A","0","I",3,999,"Información de Puntos","",""
"BUS",110,"A","0","I",3,999,"Información de la compra","",""
"BUS",111,"A","0","I",3,999,"Nombre completo","",""
"BUS",112,"A","0","I",3,999,"Indicadores del Cliente y cuenta","",""
"BUS",113,"A","0","I",3,999,"Información adicional cliente 1","",""
"BUS",114,"A","0","I",3,999,"Información de estado de elementos","",""
"BUS",115,"A","0","I",3,999,"RUT Principal","",""
"BUS",116,"A","0","I",3,999,"Número de teléfono","",""
"BUS",117,"A","0","I",3,999,"Datos comunicacion switch vs canales","",""
"BUS",118,"A","0","I",3,999,"Datos de la cuenta","",""
"BUS",119,"A","0","I",3,999,"Datos del cross reference","",""
"BUS",120,"A","0","I",3,999,"Información bancaria y de cheque (DefxCMR)","",""
"BUS",121,"A","0","I",3,999,"Montos Adicionales","",""
"BUS",122,"A","0","I",3,999,"Datos Adicionales","",""
"BUS",123,"A","0","I",3,999,"Reserved Private (AVS data)","",""
"BUS",124,"A","0","I",3,999,"Datos de la tarjeta","",""
"BUS",125,"A","0","I",3,999,"Network Managment Information Data","",""
"BUS",126,"A","0","I",3,999,"Información Telcos","",""
"FCC",1,"A","","",0,16,"Primer Mapa de Bits","",""
"FCC",2,"A","","",2,21,"Numero de Tarjeta","","T"
"FCC",3,"A","","",0,6,"Código de Procesamiento","",""
"FCC",4,"A","","",0,15,"Valor de la transacción en la moneda de Orige","",""
"FCC",5,"A","","",0,12,"Valor de la transacción en Dólares","",""
"FCC",6,"A","","",0,12,"Valor de la Transacción en moneda local","",""
"FCC",7,"A","","",0,10,"Fecha y Hora","",""
"FCC",11,"A","","",0,6,"STAN (System Trace Audit Number)","",""
"FCC",12,"A","","",0,6,"Hora origen","",""
"FCC",13,"A","","",0,4,"Fecha origen","",""
"FCC",14,"A","","",0,4,"Expiration Date","","T"
"FCC",15,"A","","",0,4,"Settlement Date","",""
"FCC",18,"A","","",0,4,"MCC - Ramo de Actividad del Comercio","",""
"FCC",19,"A","","",0,3,"Código de país del adquirente","",""
"FCC",22,"A","","",0,3,"Modo de Entrada","",""
"FCC",23,"D","","",0,3,"Fraude Score de Risk Center","",""
"FCC",32,"A","","",2,11,"Código de la red de origen","",""
"FCC",35,"A","","",2,37,"Length - Track II Data","","T"
"FCC",37,"A","","",0,12,"RRN - Número de Referencia","",""
"FCC",38,"A","","",0,6,"Numero de Autorización","",""
"FCC",39,"A","","",0,2,"Código de motivo de respuesta","",""
"FCC",41,"A","","",0,8,"Identificación del Terminal","",""
"FCC",42,"A","","",0,15,"Identificador del Comercio - PV","",""
"FCC",43,"A","","",0,40,"Nombre y Localización del Comercio","",""
"FCC",44,"A","","",2,25,"Datos de respuesta adicionales","",""
"FCC",45,"A","","",0,76,"Track 1 data","","T"
"FCC",47,"A","","",3,999,"Datos adicionales - Nacional","",""
"FCC",48,"A","","",3,999,"Additional data (private)","",""
"FCC",49,"A","","",0,3,"Código de Moneda de origen","",""
"FCC",50,"A","","",0,3,"Código de Moneda de Liquidación","",""
"FCC",51,"A","","",0,3,"Código de Moneda del Emisor","",""
"FCC",52,"A","","",0,16,"Personal identification number data","","T"
"FCC",54,"A","","",3,120,"Additional amounts","",""
"FCC",60,"A","","",0,7,"Cod Info getion de Red","",""
"FCC",62,"A","","",3,128,"Reservado Privado","",""
"FCC",63,"A","","",3,50,"Network Data","",""
"FCC",67,"A","","",0,2,"Cantidad de Cuotas","",""
"FCC",70,"A","","",0,3,"Network Management Information code","",""
"FCC",90,"A","","",0,42,"Elementos de datos originales","",""
"FCC",91,"A","","",0,1,"Cod de actualización de archivo","",""
"FCC",95,"A","","",0,42,"Cantidades de reemplazo","",""
"FCC",98,"A","","",0,25,"Payee","",""
"FCC",101,"A","","",0,17,"Nombre del archivo","",""
"FCC",102,"A","","",2,28,"Account Identification","",""
"FCC",103,"A","","",0,28,"Account identification 2","",""
"FCC",114,"A","","",3,512,"Datos Adicionales 1","",""
"FCC",115,"A","","",3,512,"Datos Adicionales 2","",""
"FCC",121,"A","","",3,64,"Authorizing Agent ID code","",""
"FCC",124,"A","","",3,256,"Texto informativo","",""
"FCC",127,"A","","",3,100,"Tracking_ID de Payments","",""
"ST2",1,"A","","",0,16,"Bit Map, Extendido","",""
"ST2",2,"A","","",2,19,"PAN","",""
"ST2",3,"A","","",0,6,"Código de Proceso o Transacción","",""
"ST2",4,"A","","",0,12,"Monto, Transacción","",""
"ST2",5,"A","","",0,12,"Monto, Settlement","",""
"ST2",7,"A","","",0,10,"Transmisión Date/Time","",""
"ST2",9,"A","0","I",0,8,"Tasa de conversión, settlement","",""
"ST2",10,"A","0","I",0,3,"CVV2","",""
"ST2",11,"A","","",0,6,"System Trace audit. Nro.","",""
"ST2",12,"A","","",0,6,"Time, Local Transaction","",""
"ST2",13,"A","","",0,4,"Date, Local Transaction","",""
"ST2",14,"A","","",0,4,"Date, Expiration","",""
"ST2",15,"A","","",0,4,"Date, Settlement","",""
"ST2",18,"A","","",0,4,"Tipo de Comercio o Tipo de Terminal usada","",""
"ST2",19,"A","","",0,3,"Código de país adquiriente","",""
"ST2",21,"A","","",0,3,"Código del País Emisor","152",""
"ST2",22,"A","","",0,3,"Modo de Entrada del PAN y del PIN","",""
"ST2",25,"A","","",0,2,"Point of Service Condition Code","",""
"ST2",26,"A","0","I",0,2,"Point Of Service Pin Capture Code","",""
"ST2",31,"A","0","I",0,2,"BM031 Indicador POS","",""
"ST2",32,"A","","",2,11,"Código de Identif. institución Adquiriente","",""
"ST2",33,"A","0","I",1,7,"Forwarding Institution Code.","",""
"ST2",35,"A","0","I",0,37,"Datos del Track II","",""
"ST2",37,"A","0","I",0,12,"Número de Referencia","",""
"ST2",38,"A","0","I",0,6,"Código de Autorización","",""
"ST2",39,"A","0","I",0,2,"Código de Respuesta","",""
"ST2",41,"A","0","I",0,8,"Número de Terminal","",""
"ST2",42,"A","0","I",0,15,"Número identificador de la tienda","",""
"ST2",43,"A","0","I",0,40,"Card Aceptor Name/Location","",""
"ST2",44,"A","0","I",2,12,"código de autorización adicional","",""
"ST2",45,"A","0","I",2,76,"Track I                               ^BM045!","",""
"ST2",46,"A","0","I",2,20,"Datos Adicionales respuesta compra internet","",""
"ST2",47,"A","0","I",3,165,"Datos Adicionales DICOM - Cámara","",""
"ST2",48,"A","0","I",3,70,"Additional Data - Fechas Adicionales","",""
"ST2",49,"A","0","I",0,3,"Moneda usada para la transacción","",""
"ST2",50,"A","0","I",0,3,"Moneda usada para la reconciliación","",""
"ST2",51,"A","0","I",0,1,"Campo 51 Satif","",""
"ST2",52,"A","0","I",0,16,"Pin o Clave Personal","",""
"ST2",53,"A","0","I",0,16,"Nuevo Pin o Clave","",""
"ST2",54,"A","0","I",3,220,"Montos o Saldos","",""
"ST2",60,"A","0","I",3,34,"Advice/Reversal Reason Code","",""
"ST2",61,"A","0","I",3,20,"Tasa de Interés","",""
"ST2",62,"A","0","I",0,259,"Verification & Token Data","",""
"ST2",63,"A","0","I",3,200,"Network data","",""
"ST2",67,"A","0","I",0,2,"Número de Cuotas","",""
"ST2",70,"A","0","I",0,3,"Network Management Information code","",""
"ST2",71,"A","0","I",3,91,"Campo 128","",""
"ST2",90,"A","0","I",0,42,"Original data elements","",""
"ST2",91,"A","0","I",0,1,"File update code","",""
"ST2",95,"A","0","I",0,42,"Replacement Amounts","",""
"ST2",98,"A","0","I",0,25,"Nombre del Emisor","",""
"ST2",100,"A","0","I",3,50,"Receiving Institution ID","",""
"ST2",101,"A","0","I",3,17,"Nombre del archivo a actualizar","",""
"ST2",102,"A","0","I",2,28,"Identificacion de la cuenta 1","",""
"ST2",103,"A","0","I",2,28,"Identificacion de la cuenta 2","",""
"ST2",104,"A","0","I",3,100,"Descripcion de la transaccion","",""
