"TRDAPL","TRDCOD","TRDNUO","TRDNUI","TRDCNV","TRDJUS","TRDIMV","TRDDFT"
"PYT","RPYC","014","014","N","I","N",""
"PYT","RPYC","018","018","N","I","N",""
"PYT","RPYC","019","019","N","I","N",""
"PYT","RPYC","022","022","N","I","N",""
"PYT","RPYC","025","025","N","I","N",""
"PYT","RPYC","032","032","N","I","N",""
"PYT","RPYC","038","038","N","I","N",""
"PYT","RPYC","039","039","N","I","N",""
"PYT","RPYC","041","041","N","I","N",""
"PYT","RPYC","042","042","N","I","N",""
"PYT","RPYC","043","043","N","I","N",""
"PYT","RPYC","044","044","N","I","N",""
"PYT","RPYC","045","","N","I","",""
"PYT","RPYC","048","048","N","I","N",""
"PYT","RPYC","050","050","N","I","N",""
"PYT","RPYC","055","","N","I","",""
"PYT","RPYC","061","061","N","I","N",""
"PYT","RPYC","062","062","N","I","N",""
"PYT","RPYC","063","063","N","I","N",""
"PYT","RPYC","114","114","N","I","N",""
"PYT","RPYC","116","117","N","I","N",""
"PYT","RPYC","123","123","N","I","N",""
"PYT","RPYC","126","126","N","I","N",""
"PYT","RPYM","001","001","N","I","N",""
"PYT","RPYM","002","002","N","I","N",""
"PYT","RPYM","004","004","N","I","N",""
"PYT","RPYM","005","005","N","I","N",""
"PYT","RPYM","006","006","N","I","N",""
"PYT","RPYM","011","011","N","I","N",""
"PYT","RPYM","018","018","N","I","N",""
"PYT","RPYM","019","019","N","I","N",""
"PYT","RPYM","022","022","N","I","N",""
"PYT","RPYM","025","025","N","I","N",""
"PYT","RPYM","032","032","N","I","N",""
"PYT","RPYM","033","033","N","I","N",""
"PYT","RPYM","038","038","N","I","N",""
"PYT","RPYM","041","041","N","I","N",""
"PYT","RPYM","043","043","N","I","N",""
"PYT","RPYM","048","048","N","I","N",""
"PYT","RPYM","050","050","N","I","N",""
"PYT","RPYM","055","055","N","I","N",""
"PYT","RPYM","061","061","N","I","N",""
"PYT","RPYM","114","114","N","I","N",""
"PYT","RPYM","116","117","N","I","N",""
"PYT","RPYM","121","121","N","I","N",""
"PYT","RPYM","124","124","N","I","N",""
"PYT","RPYV","001","001","N","I","N",""
"PYT","RPYV","003","003","N","I","N",""
"PYT","RPYV","004","004","N","I","N",""
"PYT","RPYV","005","005","N","I","N",""
"PYT","RPYV","012","012","N","I","N",""
"PYT","RPYV","019","019","N","I","N",""
"PYT","RPYV","011","011","N","I","N",""
"PYT","RPYV","039","039","N","I","N",""
"PYT","RPYV","018","018","N","I","N",""
"PYT","RPYV","041","041","N","I","N",""
"PYT","RPYV","043","043","N","I","N",""
"PYT","RPYV","025","025","N","I","N",""
"PYT","RPYV","045","045","N","I","N",""
"PYT","RPYV","032","032","N","I","N",""
"PYT","RPYV","050","050","N","I","N",""
"PYT","RPYV","062","062","N","I","N",""
"PYT","RPYV","034","034","N","I","",""
"PYT","RPYV","104","104","N","I","",""
"PYT","RPYV","037","037","N","I","N",""
"PYT","RPYV","038","038","N","I","N",""
"PYT","RPYV","114","114","N","I","N",""
"PYT","RPYV","127","127","N","I","N",""
"PYT","RPYV","055","055","N","I","N",""
"PYT","RPYV","044","044","N","I","N",""
"PYT","RPYV","049","049","N","I","N",""
"SBG","RPGM","001","001","C","I","N",""
"ABR","RRHD","005","004","N","I","N",""
"PYT","R048","001","001","C","I","N",""
"PYT","RPYV","051","051","N","I","N",""
"PYT","RPYV","060","060","N","I","N",""
"PYT","RPYV","067","067","N","I","N",""
"NRT","RNRC","COD","COD","N","I","N",""
